,name,rating,reviews,benefits
647,Asahi India Glass,3.9,1.1k,141
648,Sysnet Global Technologies,3.7,1.1k,85
649,Ashoka Buildcon,4.1,1.1k,129
650,ITD Cementation India,4.3,1.1k,144
651,Jindal X,3.6,1.1k,166
652,JioMart,3.9,1.1k,78
653,Annapurna Finance,4.1,1.1k,126
654,TCS iON,3.9,1.1k,185
655,Aye Finance,4.2,1.1k,121
656,Chandigarh University,4.5,1.1k,105
657,NeoSOFT,3.8,1.1k,133
658,Godrej Group,4.0,1.1k,163
659,Shadowfax Technologies,3.6,1.1k,83
660,Granules India,3.9,1.1k,172
661,Ocwen Financial Solutions,4.2,1.1k,170
662,GMR Group,4.1,1k,189
663,Aptara,3.4,1k,114
664,Heritage Foods,4.2,1k,143
665,Adani Ports and SEZ,3.9,1k,143
666,Sanofi,4.4,1k,153
667,MiraMed Ajuba,4.0,1k,154
668,Compass Group Support Services,4.1,1k,148
669,GE,4.3,1k,211
670,Bharat Forge,3.9,1k,122
671,HighRadius,3.0,1k,95
672,Canara Bank,3.4,1k,98
673,Spicejet,3.5,1k,156
674,Caterpillar Inc,4.3,1k,143
675,EPAM Systems,3.8,1k,146
676,Bharat FIH,4.0,1k,58
677,Spinny,3.9,1k,108
678,Unisys,3.8,1k,157
679,Broadridge Financial Solutions,4.0,1k,143
680,GE Vernova,4.2,1k,8
681,NSE.IT,3.6,1k,123
682,Sharekhan,4.0,1k,119
683,Evalueserve,3.5,1k,144
684,Edelweiss,3.8,1k,132
685,AB InBev India,3.5,1k,161
686,Xiaomi,3.9,1k,135
687,Vfs Global Services,3.7,1k,124
688,Lumax Industries,4.0,1k,133
689,Steel Strips Wheels,3.8,1k,131
690,Amity University,3.6,1k,127
691,IFB,3.8,1k,65
692,Bisleri,4.2,1k,152
693,Unichem Laboratories,4.0,1k,133
694,Indoco Remedies,3.7,1k,117
695,Pine Labs,3.8,1k,119
696,Sagility,3.9,1k,45
697,Cinépolis,4.1,1k,152
698,NEC,4.6,1k,132
699,CorroHealth,3.4,1k,15
700,Aircel,4.5,1k,152
701,Synchrony,4.4,1k,204
702,Newgen Software Technologies,3.6,1k,166
703,Tanishq,4.4,999,69
704,Iffco Tokio General Insurance Co.,4.1,997,117
705,Physicswallah,3.9,997,24
706,Punjab National Bank,4.1,993,96
707,Iksula,3.7,989,109
708,Jakson Group,4.5,989,106
709,Northern Trust Operating Services,4.1,986,226
710,Fino Payments Bank,4.0,984,97
711,SYSKA LED Lights,2.9,981,84
712,LivSpace,3.5,980,107
713,Saipem,4.1,979,154
714,ECIL,4.1,978,110
715,FDC,4.0,977,91
716,Devyani International,3.8,976,125
717,Valeo,4.1,976,140
718,Tietoevry,4.3,975,128
719,Health Care Global Enterprises,4.2,974,30
720,Aditya Birla Health Insurance Co,3.9,971,91
721,BVG India,4.1,970,100
722,Goldman Sachs,3.6,970,110
723,Best Sellers,4.2,968,132
724,VMware Software,4.4,967,141
725,Suryoday Small Finance Bank,4.1,967,87
726,Paytm Payments Bank,4.0,966,120
727,DISH TV,3.7,960,101
728,AGS Transact Technologies,3.5,957,130
729,SKF,4.0,956,158
730,Burger King,4.0,955,136
731,Fidelity National Financial,3.8,951,161
732,Oil And Natural Gas Corporation,4.3,950,144
733,Foxconn,4.1,948,211
734,Wheelseye Technology,3.7,946,104
735,Sheenlac Paints,4.6,945,56
736,DENSO,4.2,943,190
737,Sansera Engineering,4.2,940,115
738,Apco Infratech,3.9,940,111
739,SAI Life Sciences,3.9,939,134
740,Clover Infotech,3.7,939,99
741,Xyz Company,3.8,938,74
742,ManpowerGroup,3.9,938,81
743,Tata 1mg,3.7,936,107
744,Shriram Pistons & Rings,4.1,935,142
745,ANZ Banking Group,4.2,933,114
746,QualityKiosk Technologies,3.7,932,107
747,Schindler,4.0,930,121
748,Gujarat Fluorochemicals,4.2,929,150
749,Atul,4.0,929,121
750,Nexa,4.1,929,77
751,Vibgyor High School,3.8,929,111
752,Fresenius Kabi,4.2,928,125
753,The Jaypee Group,3.9,928,115
754,Dixon Technologies,4.2,927,120
755,Vestas,4.3,926,144
756,Amneal Pharmaceuticals,4.3,926,145
757,Altisource,3.6,925,144
758,Amara Raja Energy & Mobility,4.3,922,120
759,FOCUS EDUMATICS,3.4,922,46
760,Eureka Outsourcing Solutions,3.1,922,90
761,K12 Techno Services,3.0,921,63
762,Luminous Power Technologies,4.2,921,125
763,Indegene,3.6,919,130
764,iSON Xperiences,3.6,918,95
765,Wistron,3.9,916,150
766,Infogain,3.7,915,142
767,Hitachi Astemo,4.0,915,136
768,CreditAccess Grameen,4.3,915,71
769,TELUS International Philippines,3.8,915,44
770,Tata AutoComp Systems,3.9,915,106
771,GAIL,4.5,914,93
772,Medhaj Techno Concept,4.3,913,168
773,Patanjali Foods,4.0,911,109
774,IndiaFirst Life Insurance,4.2,909,104
775,Videocon d2h,3.9,909,102
776,Tenneco,3.8,908,126
777,Kantar,3.7,906,82
778,Johnson Lifts,4.1,905,95
779,Continental Automotive Components,4.3,905,140
780,Infinx,3.6,904,77
781,Eaton Corporation,4.0,904,133
782,Jio Platforms,3.7,903,69
783,Consolidated Contractors,4.5,902,169
784,Wind World,3.9,900,122
785,Bajaj Motors,4.0,900,117
786,CSB Bank,3.4,899,46
787,PharmEasy,3.7,898,95
788,Piaggio,3.7,898,126
789,AIIMS,4.2,897,68
790,Mahindra CIE Automotive,3.8,894,92
791,Godrej Properties,3.8,894,112
792,Bharat Sanchar Nigam,4.0,892,100
793,PNB Housing Finance,3.9,891,90
794,Intertek,3.8,889,116
795,Godrej Consumer Products,4.3,889,125
796,Zf Rane Automotive,4.1,889,138
797,JW Marriott,4.1,888,160
798,TE Connectivity,4.1,888,159
799,Gannon Dunkerley & Co.,3.8,887,117
800,Automotive Manufacturers,4.2,886,79
801,TUV SUD,4.0,886,99
802,Jaquar,4.1,886,123
803,IIFL SAMASTA,4.1,883,22
804,Mondelez International,4.4,883,134
805,Worley,4.1,881,127
806,JSW Cement,4.1,880,109
807,Sahara India Pariwar,3.8,880,107
808,Adobe,4.1,878,175
809,Spencer's Retail,3.9,878,99
810,Slk Software Services,3.6,878,99
811,Apexon,3.4,878,27
812,Karma Ayurveda,4.5,877,33
813,Capri Global Capital,3.7,876,39
814,Punj Lloyd,4.3,875,140
815,Dhoot Transmission,3.6,874,115
816,Petrofac,4.4,871,116
817,R Systems International,3.4,867,117
818,Morningstar,3.9,867,126
819,Siemens Gamesa Renewable Energy,4.1,867,106
820,Sonata Software,3.7,866,89
821,Hinduja Leyland Finance,4.1,865,73
822,Hatsun Agro Product,4.0,862,108
823,NSH,3.7,860,107
824,Shriram Life Insurance,3.8,858,83
825,Tikona Infinet,3.7,858,87
826,GAO Tek,4.5,858,43
827,Urban Company,3.6,858,111
828,Serco,4.4,857,140
829,Coca-Cola Company,4.3,857,102
830,Nielsen,3.8,856,130
831,Podar International School,4.3,854,121
832,Viraj Profiles,3.8,854,155
833,Thyrocare Technologies,3.5,854,96
834,Decathlon,4.0,852,115
835,Episource,3.8,851,84
836,HPCL-Mittal Energy Limited,4.3,850,120
837,iQor Global Services,3.5,849,115
838,Strides Pharma,3.9,848,145
839,Atos Global IT Solutions And Services,4.0,848,107
840,OpenText Technologies,3.8,848,106
841,Arvind Lifestyle Brands,4.2,847,2
842,RBL FinServe,4.1,847,82
843,Amazon Logistics,4.3,845,86
844,Bajaj Housing Finance,3.9,844,62
845,Airtel Payments Bank,4.2,844,116
846,JK Lakshmi Cement,3.9,844,99
847,Mando Automotive,3.9,844,129
848,Kirloskar Oil Engines,4.2,844,104
849,Sunknowledge Services,4.0,843,227
850,PNC Infratech,4.0,839,81
851,FastInfo,4.3,839,358
852,iMerit,3.8,838,104
853,MDIndia Health Insurance TPA,3.8,838,88
854,Sri Chaitanya Educational Institutions,3.8,837,69
855,Kendriya Vidyalaya Sangathan,4.4,835,63
856,Shubham Housing Development Finance,4.0,835,74
857,Onward Technologies Inc,3.2,833,46
858,Ion Exchange India,3.9,833,91
859,V5 Global Services,3.9,832,76
860,Parexel International,4.0,831,127
861,Altimetrik,3.9,830,120
862,Jubilant Pharmova,4.0,828,118
863,Barbeque Nation,4.0,824,120
864,BGR Energy Systems,3.9,824,124
865,Aarvee Associates,4.0,824,104
866,Volkswagen,4.2,821,98
867,Rockman Industries,3.9,819,104
868,NTT DATA Business Solutions,3.8,819,18
869,DCM Shriram,4.2,818,127
870,Novo Nordisk,4.1,818,134
871,Muthoot Microfin,4.5,817,68
872,Jacobs Engineering Group,4.1,817,97
873,XcelServ Solutions,4.6,815,28
874,The Ramco Cements,4.3,814,100
875,Intel,4.3,814,101
876,ReNew,4.3,814,100
877,Chetu,3.3,813,120
878,Evision Technoserve,4.7,813,41
879,Softenger,4.3,811,167
880,Edelweiss Tokio Life Insurance,3.9,811,95
881,OM Logistics,4.1,807,101
882,1point1 Solutions,3.4,806,90
883,Power Grid Corporation of India,4.4,806,82
884,Lemon Tree Hotels,4.2,806,141
885,Vertex Customer Solutions,3.6,805,89
886,Medplus(optival Health Solutions),3.7,804,61
887,Nippon Paint India,4.1,803,89
888,Vistaar Finance,4.2,803,137
889,Hyundai Mobis,3.9,798,143
890,V2 Retail,3.6,797,90
891,Ceasefire Industries,3.3,797,76
892,Aerial Telecom Solutions,4.5,796,35
893,Capacit'e Infraprojects,3.6,795,65
894,TechnipFMC,4.0,793,111
895,Provana,3.6,791,270
896,Unicharm,4.2,791,112
897,Brillio,3.5,791,84
898,ThyssenKrupp Industries India,4.2,789,93
899,Kotak Mahindra Prime,4.1,786,69
900,Hindustan Zinc,3.9,785,107
901,Nykaa,3.5,784,61
902,Happiest Minds Technologies,3.9,783,96
903,GEP Worldwide,3.8,782,133
904,Hathway,3.7,782,77
905,Dana Anand,4.2,781,130
906,Qualcomm,3.9,781,150
907,TEKsystems,3.5,781,86
908,Colliers International,4.0,779,79
909,CarDekho,3.7,779,112
910,Intex Technologies,3.6,778,97
911,CenturyPly,4.0,778,56
912,ZF Steering Gear,3.8,778,105
913,Stanza Living,3.1,778,63
914,More Supermarket,3.9,777,59
915,United Alliance Technology,4.9,777,99
916,Reliance AJIO,3.8,777,102
917,Tube Investments of India,4.0,776,60
918,Acuity Knowledge Partners,3.5,776,87
919,TK Elevator,4.1,775,101
920,TradeIndia (Infocom Network Private Limited),3.4,774,59
921,Bosch Chassis Systems,4.2,774,119
922,Apotex Research,4.2,774,111
923,Karur Vysya Bank,3.8,774,61
924,Pristyn Care,3.6,774,174
925,Feedback Infrastructure Services,3.5,773,92
926,Secure Meters,4.1,772,108
927,Pizza Hut,3.9,771,83
928,Aditya Birla Finance,3.9,770,53
929,Spandana Sphoorty Financial,3.8,770,80
930,Imperial Auto Industries,3.8,769,69
931,Kirloskar Brothers,4.1,769,103
932,Colgate Palmolive,4.2,769,120
933,Rashmi Metaliks,3.6,769,70
934,Syngenta,4.3,768,92
935,Kinara Capital,4.5,767,156
936,Fidelity Investments,4.3,767,172
937,H.G. Infra Engineering,4.4,765,93
938,Genius Consultants,3.8,765,77
939,Ahluwalia Contracts India,4.1,765,73
940,H.G. Infra Engineering,4.4,765,93
941,Pricol,4.0,764,94
942,Sundaram Finance,4.2,764,85
943,Tata Chemicals,4.2,762,136
944,Dassault Systemes,4.1,762,148
945,Nilkamal,3.9,761,84
946,Shalby Hospitals,4.6,758,55
947,Orchids International School,3.1,758,55
948,PayPal,3.9,757,125
949,Sundaram Clayton,4.1,756,93
950,VIP Industries,4.0,754,92
951,Gmmco,4.2,753,115
952,FLSmidth,3.7,753,113
953,CALIBEHR,4.1,752,61
954,Visionet Systems,3.2,750,93
955,SLK Global Services,3.9,750,102
956,Incedo,3.4,750,119
957,Fusion Microfinance,4.1,750,74
958,eClinicalWorks,3.9,750,169
959,Egis  India Consulting Engineers,4.1,749,106
960,Mahindra First Choice Wheels,3.9,747,78
961,JTEKT,4.2,746,99
962,AstraZeneca,4.2,746,167
963,Air India,4.1,745,119
964,Nirma,4.3,744,124
965,Perfetti Van Melle,4.4,744,96
966,Next Education India,3.8,744,126
967,MakeMyTrip,3.7,744,97
968,KIMS Hospital,4.1,743,79
969,LOREAL,4.1,740,106
970,VeeTechnologies,3.8,739,81
971,Hikal,4.1,738,88
972,Pacific BPO,3.6,738,75
973,Caratlane Trading,4.3,735,90
974,MAHLE ANAND Filter Systems,4.2,731,121
975,INDO-MIM,4.3,731,122
976,Birla Corporation,4.2,731,86
977,HFCL,4.2,731,88
978,Teva Pharmaceuticals,4.2,731,137
979,Fluor Corporation,4.3,729,12
980,Vedanta Aluminium,3.9,728,116
981,C&S Electric,4.0,726,95
982,Capital Numbers Infotech,4.7,726,104
983,SitusAMC,3.3,726,46
984,Prodapt,3.7,726,80
985,ICICI Prudential Mutual Fund,3.8,725,86
986,Webhelp,3.8,722,97
987,Patra Corporation,3.8,721,82
988,Future Focus Infotech,3.7,720,50
989,CADD Centre Training Services,4.1,720,94
990,Metropolis Healthcare,4.1,720,71
991,Troikaa Pharmaceuticals,3.8,720,84
992,Uber,4.2,719,105
993,Pernod Ricard,3.9,718,117
994,Zoho,4.3,718,128
995,Better.com,3.0,718,123
996,Air India Sats Airport Services,3.8,716,69
997,Orion Edutech,3.3,716,77
998,Mu Sigma,2.9,715,123
999,TNQ Technologies,3.7,714,80
1000,Skill Lync,3.1,714,32
1001,Ford Business Solutions,4.5,714,30
1002,Otis Elevator,4.0,711,89
1003,Thomas Cook,3.9,710,90
1004,SBFC Finance,3.8,709,52
1005,Wheels,4.1,706,82
1006,C.R.I. Pumps,3.9,705,79
1007,Neel Metal Products,4.1,704,70
1008,GVPR Engineers,4.0,702,146
1009,Schaeffler India,4.2,701,115
1010,Amara Raja Group,4.2,701,109
1011,Quest Retail Private Limited,4.5,700,247
1012,Indira IVF Hospital,4.0,700,77
1013,Toppr,3.5,699,98
1014,Yashoda Hospitals,3.9,699,86
1015,Federal Bank,4.0,697,73
1016,Centre for Development of Advanced Computing,3.9,696,62
1017,Huhtamaki,3.9,696,89
1018,Suzuki Motorcycle,4.1,695,94
1019,Bank of India,4.0,695,91
1020,Alok Industries,3.8,695,84
1021,Aarvi Encon,4.1,695,67
1022,Aviva Life Insurance India,3.6,695,63
1023,Leadec India,4.0,695,91
1024,Pramerica Life Insurance,3.9,695,71
1025,Test Yantra Software Solutions,3.3,694,138
1026,Shriram General Insurance,3.7,694,54
1027,Vertiv,4.0,693,10
1028,Willis Towers Watson,4.0,692,101
1029,Meril,3.9,692,75
1030,Everest Industries,4.1,691,88
1031,Centum Electronics,3.9,690,111
1032,Lavender Technology,5.0,690,45
1033,Gharda Chemicals,4.2,689,108
1034,Napino Auto & Electronics,4.1,688,81
1035,DLF,4.0,688,72
1036,Grant Thornton,3.7,688,85
1037,Dunzo,3.5,687,28
1038,Marks & Spencer,4.1,686,121
1039,Godrej Agrovet,4.1,685,80
1040,Columbia Asia,4.4,685,99
1041,Aspire Systems,4.0,684,90
1042,Digit Insurance,4.0,683,104
1043,Lakshmi Machine Works,4.0,683,69
1044,THE LEELA PALACES HOTELS & RESORTS,4.1,682,108
1045,HT Media,3.5,682,88
1046,Zydus Wellness,3.9,682,76
1047,Westside,4.2,682,77
1048,Rupeek,3.8,682,55
1049,Sykes Business Services Of India,3.5,680,220
1050,Aparna Constructions and Estates,4.2,680,96
1051,Parekh Integrated Services,4.1,679,93
1052,Duck Creek Technologies,4.5,678,414
1053,Sandhar Technologies,3.8,678,78
1054,Bechtel,4.1,677,91
1055,Knorr-Bremse,4.1,676,124
1056,Allianz Technology,4.4,676,121
1057,Greaves Cotton,4.1,676,96
1058,KEI Industries,4.2,676,90
1059,Natco Pharma,4.1,676,89
1060,Star Cement,4.1,675,90
1061,Vedanta Resources,3.8,675,101
1062,Kohler,3.9,675,83
1063,Panacea Biotec,4.0,674,99
1064,Godfrey Phillips India,4.1,674,106
1065,National Health Mission,3.7,673,54
1066,United Breweries,3.9,673,97
1067,Samsung Engineering,4.2,673,117
1068,Timken,4.0,672,108
1069,Varroc Polymers,3.9,672,84
1070,ffreedom app,3.6,672,3
1071,Asirvad Microfinance,4.0,671,60
1072,Medha Servo Drives,4.3,671,110
1073,Franklin Templeton Investments,4.2,671,81
1074,Page Industries,4.3,669,82
1075,Samsung Research,3.4,669,163
1076,Atlas Copco,4.3,668,101
1077,ValueMomentum,3.3,667,59
1078,LEAD School,3.3,667,78
1079,Defence Research & Development Organisation,4.5,667,87
1080,SHYAM METALICS AND ENERGY,3.7,666,49
1081,Astral Pipe,4.2,665,33
1082,Greenko Group,3.9,665,98
1083,Infra.Market,4.2,664,44
1084,NielsenIQ,3.9,664,63
1085,Indusind Marketing & Financial Services,4.1,662,60
1086,Tata Consumer Products,4.0,662,67
1087,Bayer Crop Science Vegetable Seeds,4.4,661,7
1088,Qinecsa Solutions,2.9,661,2
1089,Piramal Pharma,4.0,661,103
1090,T-SYSTEMS ICT INDIA,3.9,660,96
1091,Aristo Pharmaceuticals,4.1,658,65
1092,Precision Techserve,3.8,658,28
1093,Future Supply Chain Solutions,4.4,657,91
1094,SFO Technologies,3.6,657,65
1095,NetAmbit,3.4,657,36
1096,Kalpataru Group,3.9,657,83
1097,Adani Green Energy,4.2,656,80
1098,Acme Cleantech Solutions,4.0,655,96
1099,Galfar,4.2,653,85
1100,Financial Software & Systems,3.8,653,63
1101,Mswipe Technologies,3.2,652,56
1102,Rebel Foods,3.8,652,65
1103,Salesforce,4.2,651,114
1104,Northern Trust,3.8,650,9
1105,Snapdeal,3.9,650,117
1106,Lumina Datamatics,3.5,650,52
1107,Cult.fit,3.8,650,90
1108,Fareportal,3.3,649,111
1109,AtkinsRealis,4.2,648,93
1110,Michelin,4.0,648,114
1111,Lowe's,4.2,648,136
1112,Innova Solutions,3.7,647,26
1113,Velocis Systems,3.9,647,56
1114,General Mills,4.2,646,126
1115,City Union Bank,3.4,646,60
1116,NBC Bearings,3.9,646,50
1117,CNH,4.3,645,88
1118,Quess IT Staffing Solutions,3.5,645,9
1119,Citco,3.1,645,55
1120,Nityo Infotech,3.2,644,48
1121,J B Chemicals And Pharmaceuticals,3.9,643,85
1122,NetCracker,3.1,642,95
1123,Athena BPO,3.2,640,63
1124,Bayer,4.2,640,133
1125,Sanden Vikas,3.9,640,77
1126,Karvy Stock Broking,3.6,639,72
1127,Royal Sundaram General Insurance,4.0,638,64
1128,GAMMON INDIA,3.9,638,74
1129,Netscribes,2.9,638,73
1130,Musashi Auto Parts,4.0,637,76
1131,Prochant,4.4,637,113
1132,Aparajitha Corporate Services,4.0,636,60
1133,Hitachi Payment Services,3.8,635,64
1134,DuPont,4.2,635,91
1135,ICCS,3.3,635,49
1136,Sandvik Asia,4.3,632,99
1137,Border Security Force,4.6,632,85
1138,Shilpa Medicare,3.6,632,55
1139,Collins Aerospace,4.0,630,111
1140,OCS Group,4.0,628,57
1141,Artech Infosystems,3.6,628,75
1142,Merino Industries,3.9,627,78
1143,Temenos,3.3,627,60
1144,Knight Frank,4.2,627,76
1145,Jabil Circuit India,4.0,627,79
1146,Signify,3.6,626,84
1147,Medusind Solutions,3.9,626,102
1148,OLX,3.8,625,116
1149,Navayuga Engineering Company,4.1,624,90
1150,ESL Steel,4.1,623,97
1151,Tata Electronics,4.0,623,67
1152,Genpact Headstrong Capital Markets,3.8,622,109
1153,Schlumberger,4.1,622,127
1154,Micromax Informatics,3.7,622,96
1155,Tata Starbucks,4.3,622,112
1156,DAV Public School,4.1,620,83
1157,Adani Enterprises,3.9,617,83
1158,Zepto,3.7,617,31
1159,Mastek,3.6,616,48
1160,HomeLane,3.5,615,66
1161,Arohan Financial Services,4.0,614,61
1162,Porter,4.2,614,55
1163,Ageas Federal Life Insurance,3.7,612,69
1164,Xebia,3.5,612,238
1165,Volvo,4.1,610,94
1166,Reliance Power,4.2,608,70
1167,Quantiphi Analytics Solutions Private Limited,3.1,608,64
1168,The Akshaya Patra Foundation,4.5,608,66
1169,BNP Paribas India Solutions,4.0,607,116
1170,GlaxoSmithKline Consumer Healthcare,4.5,606,85
1171,Eveready Industries,4.0,605,87
1172,RAMTeCH Software Solutions,3.9,604,59
1173,Guardian India,4.2,603,98
1174,AuthBridge Research Services,3.5,603,64
1175,CRB Tech Solution,4.2,602,41
1176,Amul Dairy,4.2,602,39
1177,Rungta Mines,4.1,602,60
1178,Dhani Services,3.5,602,8
1179,First Advantage,3.8,601,60
1180,Kurlon,4.3,600,91
1181,Amphenol Interconnect,4.3,600,80
1182,Globant,4.0,600,104
1183,Svatantra Microfin,4.2,599,75
1184,GirnarSoft,3.6,599,98
1185,IMPACT Infotech,3.5,599,81
1186,Veradigm,4.1,599,6
1187,Steag Energy Services,4.2,598,100
1188,Kutumbh Care,3.9,598,56
1189,Bridge & Roof Co,3.6,598,101
1190,Salcomp Manufacturing,4.2,598,77
1191,Prism Johnson,4.0,598,65
1192,GE Healthcare,4.2,597,104
1193,TÜV NORD,3.8,597,67
1194,Jaya Hind Industries,3.8,596,63
1195,ICA Edu Skills,3.8,596,60
1196,ACL Digital,3.6,595,47
1197,NoBrokerHOOD,3.4,595,216
1198,Deepak Fertilisers and Petrochemicals,3.9,594,83
1199,Deccan Fine Chemicals,3.7,593,68
1200,Bitwise Solutions,4.2,593,134
1201,Carnival Cruise Lines,4.5,591,79
1202,McDermott International,4.2,591,79
1203,Transsion,4.2,590,74
1204,Edubridge Learning,3.8,590,171
1205,Medlife,3.7,589,61
1206,Tata Hitachi Construction Machinery,4.1,588,81
1207,Ashirvad Pipes,4.1,588,93
1208,Bpo Convergence,3.6,588,36
1209,Advik Hi Tech,3.8,588,69
1210,Indium Software,4.1,588,66
1211,Union Bank of India,4.1,587,70
1212,Fractal Analytics,4.1,587,107
1213,Simplilearn,3.2,587,52
1214,TCNS Clothing Company,4.0,586,63
1215,Amazon Services,4.2,585,9
1216,Ugam Solution,3.7,583,102
1217,L&T Power,3.9,583,107
1218,H&M,4.0,583,75
1219,Varthana,4.5,583,61
1220,Times Internet,3.6,582,72
1221,Swaraj Tractors,4.2,582,117
1222,Baxter International,4.1,582,93
1223,Comviva Technology,3.3,582,77
1224,Amazon Web Services,4.0,581,81
1225,Embibe,3.7,581,97
1226,Silaris Informations,3.2,581,54
1227,Telenor,4.5,580,106
1228,Citigroup,3.8,580,57
1229,Lumen Technologies,4.1,580,106
1230,Flash Electronics,3.7,579,68
1231,The Lalit,3.8,579,83
1232,Nippon Life India Asset Management,4.7,579,28
1233,Lea Associates South Asia,4.3,579,83
1234,Re Sustainability Limited,4.0,578,79
1235,IFFCO,4.1,577,89
1236,Wipro Infrastructure Engineering,3.8,576,89
1237,Engineers India,4.3,576,76
1238,Rallis India,4.3,575,84
1239,HP India,4.2,575,59
1240,Chennai Radha Engineering Works,4.0,575,94
1241,Primus Global Technologies,4.1,574,64
1242,Pratap Technocrats,4.0,573,39
1243,Rodic Consultants,4.4,573,71
1244,Finolex Cables,3.9,573,48
1245,CSM Technologies,4.5,573,44
1246,Balkrishna Industries,4.1,572,48
1247,Rico Auto Industries,3.8,572,52
1248,Eris Lifesciences,3.9,572,77
1249,Hitachi Systems Micro Clinic,3.9,572,73
1250,Cogoport,3.1,571,39
1251,Denave,3.8,571,81
1252,MattsenKumar,3.6,571,86
1253,Tata Cummins,4.4,570,3
1254,Government of India,4.2,569,81
1255,Astral Adhesives,4.1,567,60
1256,Crowne Plaza,4.1,566,112
1257,India Cements,3.8,566,62
1258,Caparo Engineering India,4.0,566,66
1259,Biba Apparels,3.9,566,65
1260,MG Motor,4.1,565,73
1261,PUMA,4.3,565,85
1262,Wonder Cement,4.2,565,60
1263,EMERSON PROCESS MANAGEMENT,4.0,565,83
1264,Hindustan Sanitaryware & Industries,4.1,565,94
1265,Shaktiman Tirth Agro Technology,4.3,565,90
1266,Skipper,3.8,564,61
1267,Indo Autotech,3.9,564,67
1268,Central Industrial Security Force,4.5,562,81
1269,Rohan Builders,4.2,562,64
1270,Ups Logistics,4.1,562,84
1271,DP World,4.1,562,65
1272,Naukri,4.0,561,105
1273,Redington,4.0,561,67
1274,Integreon,3.5,560,94
1275,Sharda Motor Industries,3.8,560,88
1276,JSW Group,4.1,559,62
1277,Religare,3.9,559,31
1278,Accolite,3.5,558,120
1279,Toyo Engineeering,3.9,558,83
1280,Progressive Infotech,3.5,558,67
1281,Target,4.3,558,83
1282,KGISL,3.2,557,120
1283,Neeyamo Enterprise Solutions,3.7,557,70
1284,Isuzu Motors,4.0,557,96
1285,Rane (Madras),4.0,557,66
1286,TDK India,4.0,556,58
1287,Investors Clinic,3.6,556,33
1288,Nlb Services,4.0,555,73
1289,NSB Bpo Solutions,2.9,555,38
1290,Xceedance,3.8,555,79
1291,Fleetguard Filters,4.2,555,60
1292,Ramco Systems,3.4,554,66
1293,Zuventus Healthcare,3.9,554,62
1294,MALABAR GOLD AND DIAMONDS,4.2,553,69
1295,VA Tech Wabag,4.0,553,89
1296,CMS Computers Limited (INDIA),3.9,551,50
1297,Ingram Micro,3.9,551,68
1298,HIL,4.2,550,69
1299,LifeCell International,3.5,550,73
1300,Fortrea Development India Private Limited,4.1,550,58
1301,Magna International,4.0,550,71
1302,Ukb Electronics,4.3,550,106
1303,SKH Metals,4.1,549,62
1304,Bses Rajdhani Power,3.8,549,62
1305,Tafe Motors & Tractors,4.0,548,27
1306,FIITJEE,3.7,547,58
1307,Icon Plc,4.1,547,62
1308,Bharti Infratel,4.4,546,72
1309,Sunbeam Auto,3.7,546,55
1310,MagicBricks,3.2,546,68
1311,Radical Minds,2.9,546,36
1312,Innodata India Private Limited,3.2,545,54
1313,Ivrcl Infrastructures & Projects,4.3,544,79
1314,Unimoni,3.9,544,26
1315,Ag Industries,4.0,544,59
1316,Linde India,4.1,543,91
1317,KMV Projects,4.2,543,85
1318,IVY Comptech,4.1,543,97
1319,uFaber,2.8,543,58
1320,Shyam Steel Industries,3.7,543,54
1321,HSBC Bank,4.0,542,22
1322,MasterCard,4.1,541,105
1323,Somany Ceramics,4.3,541,69
1324,Ihg Group,4.0,540,100
1325,Csc E Governance Services,3.9,540,42
1326,JK Paper,4.0,540,75
1327,Integra Software Services,4.0,540,45
1328,Thriveni Earthmovers,4.0,539,88
1329,Vijay Sales,4.2,538,60
1330,Jain Irrigation Systems,4.0,538,52
1331,Ienergizer BPO Services,4.2,538,51
1332,Microtek International,3.7,537,59
1333,Hitachi,4.1,537,66
1334,India Shelter Finance Corporation,4.1,536,32
1335,Epsilon,4.1,536,99
1336,Orient Electric,4.0,536,52
1337,National Informatics Centre,4.2,535,24
1338,Mott MacDonald,4.3,535,49
1339,Sintex Industries,4.1,534,55
1340,Sun Life Financial,4.3,534,126
1341,McKinsey & Company,4.1,533,74
1342,Marsh McLennan,4.1,532,75
1343,Epicenter Technologies,3.6,531,80
1344,Rentokil Pest Control,3.8,531,73
1345,India Japan Lighting,4.3,530,72
1346,eTeam,3.4,530,36
1347,Trimax IT Infrastructure Services,3.5,530,36
1348,Royal Caribbean International,4.4,530,64
1349,Zetwerk Manufacturing Businesses,4.0,530,58
1350,Baroda Global Shared Services,4.0,530,29
1351,Parag Milk Foods,4.1,529,56
1352,Omaxe,4.0,529,54
1353,Raychem RPG,4.0,529,100
1354,KaaShiv InfoTech Company,4.9,528,11
1355,Sutherland Healthcare Solutions,3.9,528,54
1356,Greenlam Industries,4.2,527,52
1357,Titan Eye Plus,4.3,527,59
1358,Micro Turners,3.9,526,49
1359,Cigniti Technologies,3.8,526,49
1360,Deepak Nitrite,3.9,526,73
1361,Cigniti Technologies,3.8,526,49
1362,ACTE,4.7,525,186
1363,Creambell,4.1,525,76
1364,Hapag-Lloyd,4.0,524,74
1365,Sl Lumax,3.4,524,92
1366,Atkins,3.9,524,82
