,name,rating,reviews,benefits
378,suzuki motor gujarat,4.3,1.7k,198
379,Shell,4.3,1.6k,270
380,GlaxoSmithKline Pharmaceuticals,4.1,1.6k,125
381,Foundever,3.8,1.6k,225
382,Poonawalla Fincorp,3.9,1.6k,134
383,ZS,3.5,1.6k,286
384,Whirlpool,4.1,1.6k,210
385,Bharat Petroleum,4.2,1.6k,195
386,PhonePe,4.1,1.6k,193
387,Tata Elxsi,4.0,1.6k,214
388,Endurance Technologies,3.9,1.6k,245
389,Jindal Stainless,4.3,1.6k,206
390,Force Motors,3.6,1.6k,171
391,NoBroker,3.3,1.6k,361
392,Fincare Small Finance Bank,4.1,1.6k,151
393,GVK Emergency Management and Research Institute,3.7,1.6k,187
394,ITC Hotels,4.2,1.6k,202
395,Syngene International,4.0,1.6k,241
396,Shahi Exports,4.1,1.6k,241
397,Kalyan Jewellers,4.7,1.6k,59
398,Delphi TVS,4.1,1.6k,205
399,Bharti AXA Life Insurance,3.9,1.6k,175
400,Sobha,4.0,1.6k,217
401,Brakes India,4.1,1.6k,210
402,Lodha group,4.1,1.6k,201
403,HCL Infosystems,4.0,1.6k,230
404,Care Health Insurance,3.7,1.6k,177
405,Aavas Financiers,4.0,1.6k,138
406,Sterling & Wilson,4.1,1.6k,211
407,Citicorp,3.8,1.6k,277
408,Dhani Loans and Services,3.9,1.6k,50
409,Bureau Veritas,4.0,1.6k,182
410,CAMS,3.7,1.6k,59
411,Sopra Steria,4.0,1.6k,266
412,KENT RO Systems,4.1,1.6k,117
413,Gallagher,3.9,1.6k,128
414,Unacademy,3.3,1.5k,165
415,Varroc Group,3.8,1.5k,153
416,Coromandel International,4.1,1.5k,229
417,Future Generali India Life Insurance,3.8,1.5k,167
418,Allsec Technologies,4.1,1.5k,134
419,Canara HSBC Life Insurance,3.8,1.5k,171
420,Cisco,4.4,1.5k,240
421,Tata Motors Finance,4.1,1.5k,155
422,Power Mech Projects,3.9,1.5k,167
423,RMSI,3.8,1.5k,186
424,café Coffee day,4.0,1.5k,178
425,Star Health & Allied Insurance,3.9,1.5k,171
426,Adani Wilmar,4.2,1.5k,177
427,Gabriel India,4.2,1.5k,254
428,IntouchCX,3.0,1.5k,158
429,JK Tyres,3.8,1.5k,195
430,KIA MOTORS,3.9,1.5k,185
431,Straive,3.5,1.5k,129
432,DBS Bank,3.9,1.5k,194
433,Lucas-TVS,4.0,1.5k,224
434,Bank of Baroda,3.6,1.5k,155
435,Sify Technologies,4.0,1.5k,158
436,Planet Spark,3.8,1.5k,211
437,Laurus Labs,4.2,1.5k,225
438,ValueLabs,3.9,1.5k,289
439,Hero FinCorp,4.2,1.5k,137
440,Hindustan Aeronautics,4.4,1.5k,178
441,Adani Power,4.0,1.5k,171
442,Indian Navy,4.6,1.5k,252
443,ABC,3.9,1.5k,87
444,upGrad,3.9,1.5k,145
445,Parle Products,4.0,1.5k,207
